Year,Gender,Hispanic,Race,Population,State
2018,Male,Hispanic,White,"22,490",New Hampshire
2018,Male,Hispanic,Black or African American,"2,342",New Hampshire
2018,Male,Hispanic,American Indian and Alaska Native,649,New Hampshire
2018,Male,Hispanic,Asian,229,New Hampshire
2018,Male,Hispanic,Native Hawaiian and Other Pacific Islander,131,New Hampshire
2018,Male,Hispanic,Two or More Races,"1,317",New Hampshire
2018,Female,Non Hispanic,White,"616,627",New Hampshire
2018,Female,Non Hispanic,Black or African American,"8,412",New Hampshire
2018,Female,Non Hispanic,American Indian and Alaska Native,"1,389",New Hampshire
2018,Female,Non Hispanic,Asian,"20,376",New Hampshire
2018,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,190,New Hampshire
2018,Female,Non Hispanic,Two or More Races,"10,361",New Hampshire
2018,Female,Hispanic,White,"21,433",New Hampshire
2018,Female,Hispanic,Black or African American,"1,731",New Hampshire
2018,Female,Hispanic,American Indian and Alaska Native,523,New Hampshire
2018,Female,Hispanic,Asian,265,New Hampshire
2018,Female,Hispanic,Native Hawaiian and Other Pacific Islander,116,New Hampshire
2018,Female,Hispanic,Two or More Races,"1,269",New Hampshire
2019,Male,Non Hispanic,White,"602,402",New Hampshire
2019,Male,Non Hispanic,Black or African American,"11,255",New Hampshire
2019,Male,Non Hispanic,American Indian and Alaska Native,"1,520",New Hampshire
2019,Male,Non Hispanic,Asian,"19,196",New Hampshire
2019,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,197,New Hampshire
2019,Male,Non Hispanic,Two or More Races,"10,860",New Hampshire
2019,Male,Hispanic,White,"23,464",New Hampshire
2019,Male,Hispanic,Black or African American,"2,481",New Hampshire
2019,Male,Hispanic,American Indian and Alaska Native,667,New Hampshire
2019,Male,Hispanic,Asian,237,New Hampshire
2019,Male,Hispanic,Native Hawaiian and Other Pacific Islander,145,New Hampshire
2019,Male,Hispanic,Two or More Races,"1,369",New Hampshire
2019,Female,Non Hispanic,White,"618,035",New Hampshire
2019,Female,Non Hispanic,Black or African American,"8,799",New Hampshire
2019,Female,Non Hispanic,American Indian and Alaska Native,"1,404",New Hampshire
2019,Female,Non Hispanic,Asian,"20,601",New Hampshire
2019,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,206,New Hampshire
2019,Female,Non Hispanic,Two or More Races,"10,647",New Hampshire
2019,Female,Hispanic,White,"22,196",New Hampshire
2019,Female,Hispanic,Black or African American,"1,836",New Hampshire
2019,Female,Hispanic,American Indian and Alaska Native,523,New Hampshire
2019,Female,Hispanic,Asian,266,New Hampshire
2019,Female,Hispanic,Native Hawaiian and Other Pacific Islander,124,New Hampshire
2019,Female,Hispanic,Two or More Races,"1,281",New Hampshire
2010,Male,Non Hispanic,White,"1,453,815",South Carolina
2010,Male,Non Hispanic,Black or African American,"602,319",South Carolina
2010,Male,Non Hispanic,American Indian and Alaska Native,"8,289",South Carolina
2010,Male,Non Hispanic,Asian,"27,917",South Carolina
2010,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,137",South Carolina
2010,Male,Non Hispanic,Two or More Races,"29,790",South Carolina
2010,Male,Hispanic,White,"110,319",South Carolina
2010,Male,Hispanic,Black or African American,"10,656",South Carolina
2010,Male,Hispanic,American Indian and Alaska Native,"4,721",South Carolina
2010,Male,Hispanic,Asian,"1,090",South Carolina
2010,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"1,034",South Carolina
2010,Male,Hispanic,Two or More Races,"3,744",South Carolina
2010,Female,Non Hispanic,White,"1,519,577",South Carolina
2010,Female,Non Hispanic,Black or African American,"682,552",South Carolina
2010,Female,Non Hispanic,American Indian and Alaska Native,"8,496",South Carolina
2010,Female,Non Hispanic,Asian,"31,890",South Carolina
2010,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,069",South Carolina
2010,Female,Non Hispanic,Two or More Races,"32,094",South Carolina
2010,Female,Hispanic,White,"87,047",South Carolina
2010,Female,Hispanic,Black or African American,"9,746",South Carolina
2010,Female,Hispanic,American Indian and Alaska Native,"3,189",South Carolina
2010,Female,Hispanic,Asian,940,South Carolina
2010,Female,Hispanic,Native Hawaiian and Other Pacific Islander,742,South Carolina
2010,Female,Hispanic,Two or More Races,"3,476",South Carolina
2011,Male,Non Hispanic,White,"1,464,516",South Carolina
2011,Male,Non Hispanic,Black or African American,"604,819",South Carolina
2011,Male,Non Hispanic,American Indian and Alaska Native,"8,375",South Carolina
2011,Male,Non Hispanic,Asian,"29,119",South Carolina
2011,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,184",South Carolina
2011,Male,Non Hispanic,Two or More Races,"31,073",South Carolina
2011,Male,Hispanic,White,"110,505",South Carolina
2011,Male,Hispanic,Black or African American,"10,888",South Carolina
2011,Male,Hispanic,American Indian and Alaska Native,"4,724",South Carolina
2011,Male,Hispanic,Asian,"1,111",South Carolina
2011,Male,Hispanic,Native Hawaiian and Other Pacific Islander,991,South Carolina
2011,Male,Hispanic,Two or More Races,"3,873",South Carolina
2011,Female,Non Hispanic,White,"1,530,599",South Carolina
2011,Female,Non Hispanic,Black or African American,"686,184",South Carolina
2011,Female,Non Hispanic,American Indian and Alaska Native,"8,564",South Carolina
2011,Female,Non Hispanic,Asian,"33,184",South Carolina
2011,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,117",South Carolina
2011,Female,Non Hispanic,Two or More Races,"33,196",South Carolina
2011,Female,Hispanic,White,"89,235",South Carolina
2011,Female,Hispanic,Black or African American,"10,114",South Carolina
2011,Female,Hispanic,American Indian and Alaska Native,"3,336",South Carolina
2011,Female,Hispanic,Asian,989,South Carolina
2011,Female,Hispanic,Native Hawaiian and Other Pacific Islander,731,South Carolina
2011,Female,Hispanic,Two or More Races,"3,567",South Carolina
2012,Male,Non Hispanic,White,"1,478,200",South Carolina
2012,Male,Non Hispanic,Black or African American,"608,526",South Carolina
2012,Male,Non Hispanic,American Indian and Alaska Native,"8,564",South Carolina
2012,Male,Non Hispanic,Asian,"30,567",South Carolina
2012,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,193",South Carolina
2012,Male,Non Hispanic,Two or More Races,"32,459",South Carolina
2012,Male,Hispanic,White,"111,133",South Carolina
2012,Male,Hispanic,Black or African American,"11,081",South Carolina
2012,Male,Hispanic,American Indian and Alaska Native,"4,649",South Carolina
2012,Male,Hispanic,Asian,"1,156",South Carolina
2012,Male,Hispanic,Native Hawaiian and Other Pacific Islander,995,South Carolina
2012,Male,Hispanic,Two or More Races,"4,075",South Carolina
2012,Female,Non Hispanic,White,"1,543,459",South Carolina
2012,Female,Non Hispanic,Black or African American,"690,820",South Carolina
2012,Female,Non Hispanic,American Indian and Alaska Native,"8,642",South Carolina
2012,Female,Non Hispanic,Asian,"34,804",South Carolina
2012,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,131",South Carolina
2012,Female,Non Hispanic,Two or More Races,"34,750",South Carolina
2012,Female,Hispanic,White,"91,616",South Carolina
2012,Female,Hispanic,Black or African American,"10,506",South Carolina
2012,Female,Hispanic,American Indian and Alaska Native,"3,395",South Carolina
2012,Female,Hispanic,Asian,"1,036",South Carolina
2012,Female,Hispanic,Native Hawaiian and Other Pacific Islander,759,South Carolina
2012,Female,Hispanic,Two or More Races,"3,838",South Carolina
2013,Male,Non Hispanic,White,"1,491,741",South Carolina
2013,Male,Non Hispanic,Black or African American,"612,737",South Carolina
2013,Male,Non Hispanic,American Indian and Alaska Native,"8,653",South Carolina
2013,Male,Non Hispanic,Asian,"31,588",South Carolina
2013,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,338",South Carolina
2013,Male,Non Hispanic,Two or More Races,"34,090",South Carolina
2013,Male,Hispanic,White,"112,202",South Carolina
2013,Male,Hispanic,Black or African American,"11,488",South Carolina
2013,Male,Hispanic,American Indian and Alaska Native,"4,677",South Carolina
2013,Male,Hispanic,Asian,"1,195",South Carolina
2013,Male,Hispanic,Native Hawaiian and Other Pacific Islander,973,South Carolina
2013,Male,Hispanic,Two or More Races,"4,233",South Carolina
2013,Female,Non Hispanic,White,"1,557,066",South Carolina
2013,Female,Non Hispanic,Black or African American,"695,355",South Carolina
2013,Female,Non Hispanic,American Indian and Alaska Native,"8,760",South Carolina
2013,Female,Non Hispanic,Asian,"36,147",South Carolina
2013,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,179",South Carolina
2013,Female,Non Hispanic,Two or More Races,"36,161",South Carolina
2013,Female,Hispanic,White,"94,332",South Carolina
2013,Female,Hispanic,Black or African American,"10,839",South Carolina
2013,Female,Hispanic,American Indian and Alaska Native,"3,435",South Carolina
2013,Female,Hispanic,Asian,"1,088",South Carolina
2013,Female,Hispanic,Native Hawaiian and Other Pacific Islander,766,South Carolina
2013,Female,Hispanic,Two or More Races,"4,037",South Carolina
2014,Male,Non Hispanic,White,"1,508,824",South Carolina
2014,Male,Non Hispanic,Black or African American,"616,712",South Carolina
2014,Male,Non Hispanic,American Indian and Alaska Native,"8,817",South Carolina
2014,Male,Non Hispanic,Asian,"33,193",South Carolina
2014,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,430",South Carolina
2014,Male,Non Hispanic,Two or More Races,"35,922",South Carolina
2014,Male,Hispanic,White,"114,796",South Carolina
2014,Male,Hispanic,Black or African American,"11,855",South Carolina
2014,Male,Hispanic,American Indian and Alaska Native,"4,728",South Carolina
2014,Male,Hispanic,Asian,"1,201",South Carolina
2014,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"1,002",South Carolina
2014,Male,Hispanic,Two or More Races,"4,444",South Carolina
2014,Female,Non Hispanic,White,"1,575,544",South Carolina
2014,Female,Non Hispanic,Black or African American,"700,448",South Carolina
2014,Female,Non Hispanic,American Indian and Alaska Native,"8,860",South Carolina
2014,Female,Non Hispanic,Asian,"37,947",South Carolina
2014,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,227",South Carolina
2014,Female,Non Hispanic,Two or More Races,"37,915",South Carolina
2014,Female,Hispanic,White,"97,791",South Carolina
2014,Female,Hispanic,Black or African American,"11,314",South Carolina
2014,Female,Hispanic,American Indian and Alaska Native,"3,431",South Carolina
2014,Female,Hispanic,Asian,"1,135",South Carolina
2014,Female,Hispanic,Native Hawaiian and Other Pacific Islander,811,South Carolina
2014,Female,Hispanic,Two or More Races,"4,270",South Carolina
2015,Male,Non Hispanic,White,"1,528,962",South Carolina
2015,Male,Non Hispanic,Black or African American,"621,515",South Carolina
2015,Male,Non Hispanic,American Indian and Alaska Native,"8,964",South Carolina
2015,Male,Non Hispanic,Asian,"34,960",South Carolina
2015,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,544",South Carolina
2015,Male,Non Hispanic,Two or More Races,"37,825",South Carolina
2015,Male,Hispanic,White,"118,127",South Carolina
2015,Male,Hispanic,Black or African American,"12,196",South Carolina
2015,Male,Hispanic,American Indian and Alaska Native,"4,817",South Carolina
2015,Male,Hispanic,Asian,"1,255",South Carolina
2015,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"1,004",South Carolina
2015,Male,Hispanic,Two or More Races,"4,632",South Carolina
2015,Female,Non Hispanic,White,"1,596,750",South Carolina
2015,Female,Non Hispanic,Black or African American,"706,012",South Carolina
2015,Female,Non Hispanic,American Indian and Alaska Native,"9,032",South Carolina
2015,Female,Non Hispanic,Asian,"39,920",South Carolina
2015,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,292",South Carolina
2015,Female,Non Hispanic,Two or More Races,"39,580",South Carolina
2015,Female,Hispanic,White,"101,924",South Carolina
2015,Female,Hispanic,Black or African American,"11,637",South Carolina
2015,Female,Hispanic,American Indian and Alaska Native,"3,524",South Carolina
2015,Female,Hispanic,Asian,"1,176",South Carolina
2015,Female,Hispanic,Native Hawaiian and Other Pacific Islander,832,South Carolina
2015,Female,Hispanic,Two or More Races,"4,458",South Carolina
2016,Male,Non Hispanic,White,"1,547,872",South Carolina
2016,Male,Non Hispanic,Black or African American,"625,666",South Carolina
2016,Male,Non Hispanic,American Indian and Alaska Native,"9,098",South Carolina
2016,Male,Non Hispanic,Asian,"36,881",South Carolina
2016,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,580",South Carolina
2016,Male,Non Hispanic,Two or More Races,"39,313",South Carolina
2016,Male,Hispanic,White,"121,517",South Carolina
2016,Male,Hispanic,Black or African American,"12,665",South Carolina
2016,Male,Hispanic,American Indian and Alaska Native,"4,908",South Carolina
2016,Male,Hispanic,Asian,"1,302",South Carolina
2016,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"1,003",South Carolina
2016,Male,Hispanic,Two or More Races,"4,839",South Carolina
2016,Female,Non Hispanic,White,"1,618,211",South Carolina
2016,Female,Non Hispanic,Black or African American,"711,361",South Carolina
2016,Female,Non Hispanic,American Indian and Alaska Native,"9,193",South Carolina
2016,Female,Non Hispanic,Asian,"41,915",South Carolina
2016,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,349",South Carolina
2016,Female,Non Hispanic,Two or More Races,"41,323",South Carolina
2016,Female,Hispanic,White,"105,588",South Carolina
2016,Female,Hispanic,Black or African American,"12,036",South Carolina
2016,Female,Hispanic,American Indian and Alaska Native,"3,641",South Carolina
2016,Female,Hispanic,Asian,"1,219",South Carolina
2016,Female,Hispanic,Native Hawaiian and Other Pacific Islander,835,South Carolina
2016,Female,Hispanic,Two or More Races,"4,653",South Carolina
2017,Male,Non Hispanic,White,"1,565,771",South Carolina
2017,Male,Non Hispanic,Black or African American,"628,272",South Carolina
2017,Male,Non Hispanic,American Indian and Alaska Native,"9,219",South Carolina
2017,Male,Non Hispanic,Asian,"38,885",South Carolina
2017,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,584",South Carolina
2017,Male,Non Hispanic,Two or More Races,"40,869",South Carolina
2017,Male,Hispanic,White,"125,669",South Carolina
2017,Male,Hispanic,Black or African American,"13,160",South Carolina
2017,Male,Hispanic,American Indian and Alaska Native,"4,988",South Carolina
2017,Male,Hispanic,Asian,"1,321",South Carolina
2017,Male,Hispanic,Native Hawaiian and Other Pacific Islander,984,South Carolina
2017,Male,Hispanic,Two or More Races,"5,080",South Carolina
2017,Female,Non Hispanic,White,"1,638,202",South Carolina
2017,Female,Non Hispanic,Black or African American,"716,230",South Carolina
2017,Female,Non Hispanic,American Indian and Alaska Native,"9,328",South Carolina
2017,Female,Non Hispanic,Asian,"43,965",South Carolina
2017,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,364",South Carolina
2017,Female,Non Hispanic,Two or More Races,"42,900",South Carolina
2017,Female,Hispanic,White,"110,014",South Carolina
2017,Female,Hispanic,Black or African American,"12,677",South Carolina
2017,Female,Hispanic,American Indian and Alaska Native,"3,785",South Carolina
2017,Female,Hispanic,Asian,"1,281",South Carolina
2017,Female,Hispanic,Native Hawaiian and Other Pacific Islander,835,South Carolina
2017,Female,Hispanic,Two or More Races,"4,885",South Carolina
2018,Male,Non Hispanic,White,"1,581,877",South Carolina
2018,Male,Non Hispanic,Black or African American,"630,909",South Carolina
2018,Male,Non Hispanic,American Indian and Alaska Native,"9,280",South Carolina
2018,Male,Non Hispanic,Asian,"40,850",South Carolina
2018,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,601",South Carolina
2018,Male,Non Hispanic,Two or More Races,"42,632",South Carolina
2018,Male,Hispanic,White,"130,194",South Carolina
2018,Male,Hispanic,Black or African American,"13,653",South Carolina
2018,Male,Hispanic,American Indian and Alaska Native,"5,072",South Carolina
2018,Male,Hispanic,Asian,"1,331",South Carolina
2018,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"1,034",South Carolina
2018,Male,Hispanic,Two or More Races,"5,332",South Carolina
2018,Female,Non Hispanic,White,"1,658,158",South Carolina
2018,Female,Non Hispanic,Black or African American,"721,128",South Carolina
2018,Female,Non Hispanic,American Indian and Alaska Native,"9,429",South Carolina
2018,Female,Non Hispanic,Asian,"46,208",South Carolina
2018,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,425",South Carolina
2018,Female,Non Hispanic,Two or More Races,"44,711",South Carolina
2018,Female,Hispanic,White,"114,876",South Carolina
2018,Female,Hispanic,Black or African American,"13,200",South Carolina
2018,Female,Hispanic,American Indian and Alaska Native,"3,914",South Carolina
2018,Female,Hispanic,Asian,"1,318",South Carolina
2018,Female,Hispanic,Native Hawaiian and Other Pacific Islander,873,South Carolina
2018,Female,Hispanic,Two or More Races,"5,151",South Carolina
2019,Male,Non Hispanic,White,"1,598,873",South Carolina
2019,Male,Non Hispanic,Black or African American,"634,203",South Carolina
2019,Male,Non Hispanic,American Indian and Alaska Native,"9,372",South Carolina
2019,Male,Non Hispanic,Asian,"42,951",South Carolina
2019,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,636",South Carolina
2019,Male,Non Hispanic,Two or More Races,"44,043",South Carolina
2019,Male,Hispanic,White,"134,725",South Carolina
2019,Male,Hispanic,Black or African American,"14,061",South Carolina
2019,Male,Hispanic,American Indian and Alaska Native,"5,223",South Carolina
2019,Male,Hispanic,Asian,"1,378",South Carolina
2019,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"1,065",South Carolina
2019,Male,Hispanic,Two or More Races,"5,609",South Carolina
2019,Female,Non Hispanic,White,"1,678,669",South Carolina
2019,Female,Non Hispanic,Black or African American,"726,139",South Carolina
2019,Female,Non Hispanic,American Indian and Alaska Native,"9,616",South Carolina
2019,Female,Non Hispanic,Asian,"48,424",South Carolina
2019,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,465",South Carolina
2019,Female,Non Hispanic,Two or More Races,"46,205",South Carolina
2019,Female,Hispanic,White,"119,781",South Carolina
2019,Female,Hispanic,Black or African American,"13,614",South Carolina
2019,Female,Hispanic,American Indian and Alaska Native,"4,025",South Carolina
2019,Female,Hispanic,Asian,"1,358",South Carolina
2019,Female,Hispanic,Native Hawaiian and Other Pacific Islander,899,South Carolina
2019,Female,Hispanic,Two or More Races,"5,380",South Carolina
2010,Male,Non Hispanic,White,"1,765,551",Colorado
2010,Male,Non Hispanic,Black or African American,"101,424",Colorado
2010,Male,Non Hispanic,American Indian and Alaska Native,"16,073",Colorado
2010,Male,Non Hispanic,Asian,"62,791",Colorado
2010,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"2,947",Colorado
2010,Male,Non Hispanic,Two or More Races,"48,129",Colorado
2010,Male,Hispanic,White,"473,221",Colorado
2010,Male,Hispanic,Black or African American,"12,193",Colorado
2010,Male,Hispanic,American Indian and Alaska Native,"24,010",Colorado
2010,Male,Hispanic,Asian,"3,983",Colorado
2010,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"1,361",Colorado
2010,Male,Hispanic,Two or More Races,"17,833",Colorado
2010,Female,Non Hispanic,White,"1,772,536",Colorado
2010,Female,Non Hispanic,Black or African American,"89,872",Colorado
2010,Female,Non Hispanic,American Indian and Alaska Native,"15,560",Colorado
2010,Female,Non Hispanic,Asian,"75,576",Colorado
2010,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"2,853",Colorado
2010,Female,Non Hispanic,Two or More Races,"49,438",Colorado
2010,Female,Hispanic,White,"453,057",Colorado
2010,Female,Hispanic,Black or African American,"12,632",Colorado
2010,Female,Hispanic,American Indian and Alaska Native,"22,838",Colorado
2010,Female,Hispanic,Asian,"3,995",Colorado
2010,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"1,342",Colorado
2010,Female,Hispanic,Two or More Races,"18,134",Colorado
2011,Male,Non Hispanic,White,"1,783,583",Colorado
2011,Male,Non Hispanic,Black or African American,"103,461",Colorado
2011,Male,Non Hispanic,American Indian and Alaska Native,"16,331",Colorado
2011,Male,Non Hispanic,Asian,"65,102",Colorado
2011,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"3,072",Colorado
2011,Male,Non Hispanic,Two or More Races,"49,945",Colorado
2011,Male,Hispanic,White,"484,337",Colorado
2011,Male,Hispanic,Black or African American,"12,442",Colorado
2011,Male,Hispanic,American Indian and Alaska Native,"24,365",Colorado
2011,Male,Hispanic,Asian,"4,076",Colorado
2011,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"1,401",Colorado
2011,Male,Hispanic,Two or More Races,"18,353",Colorado
2011,Female,Non Hispanic,White,"1,789,921",Colorado
2011,Female,Non Hispanic,Black or African American,"91,572",Colorado
2011,Female,Non Hispanic,American Indian and Alaska Native,"15,893",Colorado
2011,Female,Non Hispanic,Asian,"78,432",Colorado
2011,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"2,951",Colorado
2011,Female,Non Hispanic,Two or More Races,"51,205",Colorado
2011,Female,Hispanic,White,"464,577",Colorado
2011,Female,Hispanic,Black or African American,"12,815",Colorado
2011,Female,Hispanic,American Indian and Alaska Native,"23,226",Colorado
2011,Female,Hispanic,Asian,"4,066",Colorado
2011,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"1,369",Colorado
2011,Female,Hispanic,Two or More Races,"18,613",Colorado
2012,Male,Non Hispanic,White,"1,803,847",Colorado
2012,Male,Non Hispanic,Black or African American,"105,927",Colorado
2012,Male,Non Hispanic,American Indian and Alaska Native,"16,574",Colorado
2012,Male,Non Hispanic,Asian,"67,584",Colorado
2012,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"3,253",Colorado
2012,Male,Non Hispanic,Two or More Races,"51,878",Colorado
2012,Male,Hispanic,White,"492,291",Colorado
2012,Male,Hispanic,Black or African American,"12,651",Colorado
2012,Male,Hispanic,American Indian and Alaska Native,"24,707",Colorado
2012,Male,Hispanic,Asian,"4,176",Colorado
2012,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"1,448",Colorado
2012,Male,Hispanic,Two or More Races,"18,866",Colorado
2012,Female,Non Hispanic,White,"1,807,853",Colorado
2012,Female,Non Hispanic,Black or African American,"93,742",Colorado
2012,Female,Non Hispanic,American Indian and Alaska Native,"16,059",Colorado
2012,Female,Non Hispanic,Asian,"81,371",Colorado
2012,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"3,070",Colorado
2012,Female,Non Hispanic,Two or More Races,"53,005",Colorado
2012,Female,Hispanic,White,"473,089",Colorado
2012,Female,Hispanic,Black or African American,"13,064",Colorado
2012,Female,Hispanic,American Indian and Alaska Native,"23,546",Colorado
2012,Female,Hispanic,Asian,"4,136",Colorado
2012,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"1,417",Colorado
2012,Female,Hispanic,Two or More Races,"19,093",Colorado
2013,Male,Non Hispanic,White,"1,825,449",Colorado
2013,Male,Non Hispanic,Black or African American,"108,848",Colorado
2013,Male,Non Hispanic,American Indian and Alaska Native,"16,842",Colorado
2013,Male,Non Hispanic,Asian,"70,209",Colorado
2013,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"3,364",Colorado
2013,Male,Non Hispanic,Two or More Races,"53,883",Colorado
2013,Male,Hispanic,White,"500,694",Colorado
2013,Male,Hispanic,Black or African American,"12,944",Colorado
2013,Male,Hispanic,American Indian and Alaska Native,"25,203",Colorado
2013,Male,Hispanic,Asian,"4,300",Colorado
2013,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"1,517",Colorado
2013,Male,Hispanic,Two or More Races,"19,478",Colorado
2013,Female,Non Hispanic,White,"1,826,970",Colorado
2013,Female,Non Hispanic,Black or African American,"96,065",Colorado
2013,Female,Non Hispanic,American Indian and Alaska Native,"16,438",Colorado
2013,Female,Non Hispanic,Asian,"84,211",Colorado
2013,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"3,188",Colorado
2013,Female,Non Hispanic,Two or More Races,"54,855",Colorado
2013,Female,Hispanic,White,"481,785",Colorado
2013,Female,Hispanic,Black or African American,"13,315",Colorado
2013,Female,Hispanic,American Indian and Alaska Native,"23,995",Colorado
2013,Female,Hispanic,Asian,"4,289",Colorado
2013,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"1,440",Colorado
2013,Female,Hispanic,Two or More Races,"19,753",Colorado
2014,Male,Non Hispanic,White,"1,848,364",Colorado
2014,Male,Non Hispanic,Black or African American,"112,396",Colorado
2014,Male,Non Hispanic,American Indian and Alaska Native,"17,200",Colorado
2014,Male,Non Hispanic,Asian,"73,068",Colorado
2014,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"3,484",Colorado
2014,Male,Non Hispanic,Two or More Races,"55,844",Colorado
2014,Male,Hispanic,White,"510,839",Colorado
2014,Male,Hispanic,Black or African American,"13,387",Colorado
2014,Male,Hispanic,American Indian and Alaska Native,"25,642",Colorado
2014,Male,Hispanic,Asian,"4,374",Colorado
2014,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"1,508",Colorado
2014,Male,Hispanic,Two or More Races,"20,034",Colorado
2014,Female,Non Hispanic,White,"1,846,052",Colorado
2014,Female,Non Hispanic,Black or African American,"98,331",Colorado
2014,Female,Non Hispanic,American Indian and Alaska Native,"16,679",Colorado
2014,Female,Non Hispanic,Asian,"87,386",Colorado
2014,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"3,260",Colorado
2014,Female,Non Hispanic,Two or More Races,"56,685",Colorado
2014,Female,Hispanic,White,"491,327",Colorado
2014,Female,Hispanic,Black or African American,"13,614",Colorado
2014,Female,Hispanic,American Indian and Alaska Native,"24,486",Colorado
2014,Female,Hispanic,Asian,"4,371",Colorado
2014,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"1,466",Colorado
2014,Female,Hispanic,Two or More Races,"20,304",Colorado
2015,Male,Non Hispanic,White,"1,877,874",Colorado
2015,Male,Non Hispanic,Black or African American,"115,646",Colorado
2015,Male,Non Hispanic,American Indian and Alaska Native,"17,596",Colorado
2015,Male,Non Hispanic,Asian,"76,834",Colorado
2015,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"3,623",Colorado
2015,Male,Non Hispanic,Two or More Races,"58,262",Colorado
2015,Male,Hispanic,White,"522,943",Colorado
2015,Male,Hispanic,Black or African American,"13,917",Colorado
2015,Male,Hispanic,American Indian and Alaska Native,"26,228",Colorado
2015,Male,Hispanic,Asian,"4,487",Colorado
2015,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"1,569",Colorado
2015,Male,Hispanic,Two or More Races,"20,785",Colorado
2015,Female,Non Hispanic,White,"1,870,695",Colorado
2015,Female,Non Hispanic,Black or African American,"100,790",Colorado
2015,Female,Non Hispanic,American Indian and Alaska Native,"17,153",Colorado
2015,Female,Non Hispanic,Asian,"91,555",Colorado
2015,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"3,376",Colorado
2015,Female,Non Hispanic,Two or More Races,"58,972",Colorado
2015,Female,Hispanic,White,"502,175",Colorado
2015,Female,Hispanic,Black or African American,"14,111",Colorado
2015,Female,Hispanic,American Indian and Alaska Native,"25,024",Colorado
2015,Female,Hispanic,Asian,"4,470",Colorado
2015,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"1,506",Colorado
2015,Female,Hispanic,Two or More Races,"21,032",Colorado
2016,Male,Non Hispanic,White,"1,903,460",Colorado
2016,Male,Non Hispanic,Black or African American,"118,563",Colorado
2016,Male,Non Hispanic,American Indian and Alaska Native,"17,821",Colorado
2016,Male,Non Hispanic,Asian,"79,879",Colorado
2016,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"3,717",Colorado
2016,Male,Non Hispanic,Two or More Races,"60,528",Colorado
2016,Male,Hispanic,White,"534,022",Colorado
2016,Male,Hispanic,Black or African American,"14,288",Colorado
2016,Male,Hispanic,American Indian and Alaska Native,"26,905",Colorado
2016,Male,Hispanic,Asian,"4,609",Colorado
